Dimension,Category,Seniority,Jobs,10th,25th,Median,75th,90th
Cause area,AI Safety and Governance,Junior,305,57412,82500,119000,160000,241800
Cause area,AI Safety and Governance,Mid,412,82520,119774,160000,252760,361900
Cause area,AI Safety and Governance,Senior,188,90451,126756,172400,275000,372898
Cause area,AI Safety and Governance,All roles,642,68888,100000,140527,224926,349900
Cause area,Global Health and Development,Junior,90,43291,52000,72780,86500,103830
Cause area,Global Health and Development,Mid,149,64576,78645,109200,178700,248200
Cause area,Global Health and Development,Senior,74,83633,132500,204925,271162,335000
Cause area,Global Health and Development,All roles,233,51959,72029,100000,171000,261420
Cause area,Biosecurity,Junior,53,52500,66301,86519,100000,122762
Cause area,Biosecurity,Mid,78,65120,86188,114670,163675,205773
Cause area,Biosecurity,Senior,44,65120,86714,130184,192712,286434
Cause area,Biosecurity,All roles,118,58605,74506,100000,138750,196214
Cause area,Climate Change,Junior,45,41062,62400,83735,100000,112152
Cause area,Climate Change,Mid,66,65220,80616,103050,120000,138750
Cause area,Climate Change,Senior,31,62500,79976,134670,174713,214500
Cause area,Climate Change,All roles,99,54649,66164,95836,120000,166885
Cause area,EA Meta,Junior,34,54077,63268,78411,98625,137975
Cause area,EA Meta,Mid,33,52496,80000,112803,157435,197245
Cause area,EA Meta,Senior,14,61142,99370,149500,179888,266047
Cause area,EA Meta,All roles,58,53138,69482,93944,150000,185428
Cause area,Other,Junior,127,42090,53962,64625,85000,106093
Cause area,Other,Mid,98,54440,74750,107931,161875,199225
Cause area,Other,Senior,59,79397,111975,154000,189830,223504
Cause area,Other,All roles,216,47408,58971,79698,140000,189830
Cause area,Animal Welfare,Junior,68,39026,43405,58782,76081,92830
Cause area,Animal Welfare,Mid,65,53259,66803,89168,106135,155900
Cause area,Animal Welfare,Senior,20,80940,95738,116821,168334,186300
Cause area,Animal Welfare,All roles,115,40000,53290,75000,98500,140184
Skill,Information Security,Junior,36,56108,78742,136197,188944,265000
Skill,Information Security,Mid,77,111842,150000,270000,352500,373825
