Skill,25th percentile,Median,75th percentile
Information Security,138944,255711,352500
Software Engineering,117176,175000,299364
Strategy,102500,160000,227000
Management,95938,150000,205632
Engineering,109011,120000,175625
Other,78750,117000,146250
Legal,62629,110209,165307
Finance,81725,110000,148545
Research,65120,108320,190250
Policy,64460,102500,159492
Communications & Outreach,70000,97500,137600
Data,64576,94482,170000
Operations,70000,93244,131875
Outreach,64845,92629,125000
